case_id,label_1_dice,label_1_iou,label_2_dice,label_2_iou,label_4_dice,label_4_iou,WT_dice,WT_iou,TC_dice,TC_iou,ET_dice,ET_iou,gt_nonzero_voxels,pred_nonzero_voxels
BraTS2021_00000,0.0,0.0,0.001151978935241853,0.0005763214226903604,0.0,0.0,0.5020006336317072,0.335114049379569,0.0063036590771038785,0.0031617949773564166,0.0,0.0,57305,61527
BraTS2021_00002,0.00011400818578773305,5.700734254571664e-05,0.00010853769574471279,5.427179314004207e-05,0.0,0.0,0.8662055585090112,0.7639881858742519,0.017269699663948257,0.008710059891161812,0.0,0.0,190594,199055
BraTS2021_00003,0.0,0.0,0.0004278246453734204,0.0002139580909589048,0.0,0.0,0.8400547967375802,0.7242193806870124,0.005824491375271794,0.0029207516339866298,0.0,0.0,99239,98311
BraTS2021_00005,0.0,0.0,0.0005995443462967545,0.0002998620634507827,0.0,0.0,0.8580081548142983,0.751325991014214,0.011983821840514308,0.006028030341085545,0.0,0.0,124783,120573
BraTS2021_00006,0.0,0.0,0.00036025650262984,0.00018016070334736964,0.0,0.0,0.8715096970361795,0.7722792962839666,0.008075808877461966,0.004054275214615918,0.0,0.0,137911,135132
BraTS2021_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.9302087817474898,0.8695236658111415,0.008301371302470287,0.004167985649464931,0.0,0.0,18462,19081
BraTS2021_00009,0.0,0.0,0.0,0.0,0.0,0.0,0.8719212801906626,0.7729259180937573,0.025192442267309434,0.012756909992907508,0.0,0.0,27453,23989
BraTS2021_00011,0.00010138046398457305,5.069280162216109e-05,0.00023008907734276205,0.00011505777544007708,0.0,0.0,0.8920869981913333,0.8051958923985929,0.009250612816620572,0.004646799278792617,0.0,0.0,70184,68940
BraTS2021_00012,0.042941475670091905,0.021941845446239252,0.09450383470443834,0.049595394850757854,0.0,0.0,0.9817018208040198,0.9640612552004602,0.042981442981441326,0.02196271610572864,0.0,0.0,263809,268738
BraTS2021_00014,0.0,0.0,0.0,0.0,0.0,0.0,0.8902769436101582,0.8022514612847756,0.01584745546097798,0.007987014660034528,0.0,0.0,38358,39007
BraTS2021_00016,0.0,0.0,0.001006150500640852,0.0005033284624126476,0.0,0.0,0.7011313338608224,0.5398015612655438,0.016561750599517283,0.008350020780593126,0.0,0.0,74546,54959
BraTS2021_00017,0.0,0.0,0.00012295081967211854,6.147918929441754e-05,0.0,0.0,0.9583488494283636,0.9200285996923653,0.0026617089797118182,0.0013326280238447506,0.0,0.0,99385,98454
BraTS2021_00018,6.249544304060512e-05,3.124869797091462e-05,0.0005551878029509775,0.00027767098124649946,0.0,0.0,0.7098844824127439,0.5502487744201024,0.05068966590901698,0.02600389739002485,0.0,0.0,160203,160478
BraTS2021_00019,0.0,0.0,0.0,0.0,0.0,0.0,0.920980107597779,0.8535339469482828,0.007186089783347435,0.0036060014166431555,0.0,0.0,142997,140323
BraTS2021_00020,0.0002018876495229895,0.00010095401544593889,5.051015254064792e-05,2.525571410530995e-05,0.0,0.0,0.7350322690728052,0.5810679996825231,0.011360039976678378,0.005712466914596826,0.0,0.0,59921,60424
BraTS2021_00021,0.0004802140382569968,0.0002401646843549588,0.00036708922715476887,0.00018357830838705853,0.0,0.0,0.8375939165917888,0.7205691096659932,0.012565000530615244,0.006322219611695431,0.0,0.0,89260,94627
BraTS2021_00022,0.00012293696407165338,6.147226064237568e-05,0.0002775464890368709,0.00013879250520469754,0.0,0.0,0.6804025131761371,0.5156136776327128,0.032108670049320186,0.016316282083586854,0.0,0.0,112949,113560
BraTS2021_00024,0.0,0.0,0.0,0.0,0.0,0.0,0.9442066116946322,0.8943100251936213,0.007442849548111987,0.003735325506936671,0.0,0.0,101451,103109
BraTS2021_00025,8.378016085787375e-05,4.189183528128612e-05,0.0,0.0,0.0,0.0,0.8164177175456848,0.6897853488079715,0.035559230928249065,0.018101452325819792,0.0,0.0,30557,28958
BraTS2021_00026,0.0,0.0,0.0,0.0,0.0,0.0,0.6521520771839595,0.4838469282361076,0.04037696105920582,0.020604453130450114,0.0,0.0,71556,72660
BraTS2021_00028,0.0,0.0,0.0019377497880562699,0.0009698145229713057,0.0,0.0,0.4397066811514287,0.28181026979972784,0.027168014564286955,0.013771073646845156,0.0,0.0,21245,29948
BraTS2021_00030,0.000802085422097364,0.0004012036108324528,4.455037533690725e-05,2.227568386349213e-05,0.0,0.0,0.816747848715962,0.6902568043756743,0.014330788107838811,0.007217107472892164,0.0,0.0,117996,118334
BraTS2021_00031,0.0,0.0,0.0,0.0,0.0,0.0,0.8920873986269546,0.8051965448550573,0.0016184652167915022,0.0008098879961714012,0.0,0.0,212996,219403
BraTS2021_00032,0.0,0.0,5.113127956026446e-05,2.5566293398779778e-05,0.0,0.0,0.9020827008318111,0.8216308291300746,0.005366643534581846,0.0026905413554758673,0.0,0.0,88373,86918
BraTS2021_00033,0.0,0.0,2.5000937535156003e-05,1.2500625031250781e-05,0.0,0.0,0.964252212130782,0.9309720217838752,0.008816494595657826,0.0044277659852688936,0.0,0.0,163810,164984
BraTS2021_00035,0.0,0.0,0.0,0.0,0.0,0.0,0.8219693465320841,0.6977486910992938,0.02269591417226855,0.011478211335798497,0.0,0.0,38022,35131
BraTS2021_00036,5.191703657554778e-05,2.5959192149938047e-05,0.0024824376158253257,0.0012427613466698966,0.0,0.0,0.8208679491575744,0.6961628670606563,0.01259215342578668,0.006335968456344961,0.0,0.0,157005,155930
BraTS2021_00043,0.00023047581732484062,0.00011525118996852314,0.00029872353137168117,0.00014938407795548936,0.0,0.0,0.9101921944313373,0.8351859747934163,0.01550450854787879,0.007812821250872999,0.0,0.0,98719,99635
BraTS2021_00044,0.0,0.0,0.0,0.0,0.0,0.0,0.8060554732158917,0.6751197020744368,0.009370246425306133,0.004707176916490581,0.0,0.0,16636,16490
BraTS2021_00045,0.0,0.0,0.0,0.0,0.0,0.0,0.8314855133142135,0.7115748437766694,0.017687597976864835,0.008922709638911095,0.0,0.0,34190,33633
BraTS2021_00046,0.0,0.0,0.0001482964445926859,7.415372066290677e-05,0.0,0.0,0.8528322219975664,0.743424142789824,0.0049359864260358054,0.0024740992732325733,0.0,0.0,33792,32836
